PCB,,,,
PHYSICS ,CHEMISTRY ,BIOLOGY,SKILLS,COURSE
"A,B,C,D",,"A,B,C,D","Crop and Soil Management, Agricultural Technology and Techniques, Farm Management and Planning",Bachelor of Science Agriculture General 
"A,B,C,D","A,B,C,D",,"Rural Community Assessment, Project Planning and Management, Development Program Implementation",Bachelor of Rural Development 
,"A,B,C,D","A,B,C,D","Rural Community Assessment, Project Planning and Management, Development Program Implementation",Bachelor of Rural Development 
"A,B,C,D",,"A,B,C,D","Rural Community Assessment, Project Planning and Management, Development Program Implementation",Bachelor of Rural Development 
,"A,B,C,D","A,B,C,D","Animal Husbandry and Care, Nutrition and Feed Management, Animal Health and Veterinary Practices",Bachelor of Science Animal Science 
"A,B,C,D",,"A,B,C,D","Aquatic Species Cultivation, Water Quality Management, Aquaculture Systems Design and Maintenance",Bachelor of Science Aquaculture 
,"A,B,C,D","A,B,C,D","Aquatic Species Cultivation, Water Quality Management, Aquaculture Systems Design and Maintenance",Bachelor of Science Aquaculture 
"A,B,C,D",,"A,B,C,D","Forest Management and Conservation,Tree and Soil Science,Wildlife and Ecosystem Monitoring",Bachelor of Science Forestry 
,"A,B,C,D","A,B,C,D","Forest Management and Conservation,Tree and Soil Science,Wildlife and Ecosystem Monitoring",Bachelor of Science Forestry 
"A,B,C,D",,"A,B,C,D","Plant Cultivation and Propagation, Soil and Fertilizer Management, Pest and Disease Control",Bachelor of Science Horticulture 
,"A,B,C,D","A,B,C,D","Plant Cultivation and Propagation, Soil and Fertilizer Management, Pest and Disease Control",Bachelor of Science Horticulture 
"A,B,C,D","A,B,C,D",,"Food Safety and Quality Control, Food Processing and Preservation, Nutritional Analysis and Product Development",Bachelor of Science Food Science and Technology 
,"A,B,C,D","A,B,C,D","Food Safety and Quality Control, Food Processing and Preservation, Nutritional Analysis and Product Development",Bachelor of Science Food Science and Technology 
"A,B,C,D",,"A,B,C,D","Range and Pasture Management, Ecological Monitoring and Assessment, Livestock Grazing Management",Bachelor of Science Range Management 
,"A,B,C,D","A,B,C,D","Range and Pasture Management, Ecological Monitoring and Assessment, Livestock Grazing Management",Bachelor of Science Range Management 
"A,B,C,D","A,B,C,D",,"Individualized Education Planning, Behavioral and Learning Assessment, Adaptive Teaching Strategies",Bachelor of Education in Special Education 
,"A,B,C,D","A,B,C,D","Individualized Education Planning, Behavioral and Learning Assessment, Adaptive Teaching Strategies",Bachelor of Education in Special Education 
"A,B,C,D",,"A,B,C,D","Individualized Education Planning, Behavioral and Learning Assessment, Adaptive Teaching Strategies",Bachelor of Education in Special Education 
"A,B,C,D","A,B,C,D","A,B,C,D,E,S","Production Planning and Control, Operational Efficiency and Process Improvement, Supply Chain and Logistics Management",Bachelor of Science in Production & Operation Management  
"A,B,C,D,E,S","A,B,C,D","A,B,C,D","Production Planning and Control, Operational Efficiency and Process Improvement, Supply Chain and Logistics Management",Bachelor of Science in Production & Operation Management  
"A,B,C,D","A,B,C,D,E,S","A,B,C,D","Production Planning and Control, Operational Efficiency and Process Improvement, Supply Chain and Logistics Management",Bachelor of Science in Production & Operation Management  
"A,B,C,D",,"A,B,C,D","Development Economics Analysis, Economic Policy and Planning, Quantitative Research and Data Analysis",Bachelor Degree in Economics of Development
,"A,B,C,D","A,B,C,D","Development Economics Analysis, Economic Policy and Planning, Quantitative Research and Data Analysis",Bachelor Degree in Economics of Development
"A,B,C,D","A,B,C,D",,"Development Economics Analysis, Economic Policy and Planning, Quantitative Research and Data Analysis",Bachelor Degree in Economics of Development
,"A,B,C,D","A,B,C,D","Gender Analysis and Policy Development, Development Program Design and Implementation, Advocacy and Community Engagement",Bachelor Degree in Gender and Development  
"A,B,C,D","A,B,C,D",,"Recruitment and Talent Management, Employee Relations and Development, HR Policies and Compliance",Bachelor Degree in Human Resource Management  
,"A,B,C,D","A,B,C,D","Recruitment and Talent Management, Employee Relations and Development, HR Policies and Compliance",Bachelor Degree in Human Resource Management  
"A,B,C,D",,"A,B,C,D","Recruitment and Talent Management, Employee Relations and Development, HR Policies and Compliance",Bachelor Degree in Human Resource Management  
"A,B,C,D","A,B,C,D",,"Community Needs Assessment, Program Planning and Implementation, Community Engagement and Facilitation",Bachelor  Degree in Community Development 
,"A,B,C,D","A,B,C,D","Community Needs Assessment, Program Planning and Implementation, Community Engagement and Facilitation",Bachelor  Degree in Community Development 
"A,B,C,D",,"A,B,C,D","Community Needs Assessment, Program Planning and Implementation, Community Engagement and Facilitation",Bachelor  Degree in Community Development 
"A,B,C,D","A,B,C,D",,"Gender Analysis and Advocacy, Community Development Strategies, Program Planning and Evaluation",Bachelor Degree in Gender and  Community Development 
,"A,B,C,D","A,B,C,D","Gender Analysis and Advocacy, Community Development Strategies, Program Planning and Evaluation",Bachelor Degree in Gender and  Community Development 
"A,B,C,D",,"A,B,C,D","Gender Analysis and Advocacy, Community Development Strategies, Program Planning and Evaluation",Bachelor Degree in Gender and  Community Development 
"A,B,C,D","A,B,C,D",,"Participatory Planning Techniques, Project Design and Implementation, Stakeholder Engagement and Facilitation",Bachelor Degree in Participatory Project Planning and Management 
,"A,B,C,D","A,B,C,D","Participatory Planning Techniques, Project Design and Implementation, Stakeholder Engagement and Facilitation",Bachelor Degree in Participatory Project Planning and Management 
"A,B,C,D",,"A,B,C,D","Participatory Planning Techniques, Project Design and Implementation, Stakeholder Engagement and Facilitation",Bachelor Degree in Participatory Project Planning and Management
"A,B,C,D","A,B,C,D",,"Supply Chain Management, Logistics and Transportation Planning, Inventory and Warehouse Management",Bachelor Degree in Shipping and Logistics Management
,"A,B,C,D","A,B,C,D","Supply Chain Management, Logistics and Transportation Planning, Inventory and Warehouse Management",Bachelor Degree in Shipping and Logistics Management
"A,B,C,D",,"A,B,C,D","Supply Chain Management, Logistics and Transportation Planning, Inventory and Warehouse Management",Bachelor Degree in Shipping and Logistics Management
"A,B,C,D","A,B,C,D",,"Statistical Analysis and Methods,Data Collection and Management,Statistical Reporting and Interpretation",Bachelor Degree in Official Statistics 
,"A,B,C,D","A,B,C,D","Statistical Analysis and Methods,Data Collection and Management,Statistical Reporting and Interpretation",Bachelor Degree in Official Statistics 
"A,B,C,D",,"A,B,C,D","Statistical Analysis and Methods,Data Collection and Management,Statistical Reporting and Interpretation",Bachelor Degree in Official Statistics 
"A,B,C,D","A,B,C,D",,"Records Organization and Classification, Archival Preservation Techniques, Information Management Systems",Bachelor Degree in Records and Achieves Management 
,"A,B,C,D","A,B,C,D","Records Organization and Classification, Archival Preservation Techniques, Information Management Systems",Bachelor Degree in Records and Achieves Management 
"A,B,C,D",,"A,B,C,D","Records Organization and Classification, Archival Preservation Techniques, Information Management Systems",Bachelor Degree in Records and Achieves Management 
"A,B,C,D","A,B,C,D",,"Environmental Impact Assessment,Planning and Policy Development,Resource Management and Sustainability",Bachelor Degree in Environmental Planning and Management 
,"A,B,C,D","A,B,C,D","Environmental Impact Assessment,Planning and Policy Development,Resource Management and Sustainability",Bachelor Degree in Environmental Planning and Management 
"A,B,C,D",,"A,B,C,D","Environmental Impact Assessment,Planning and Policy Development,Resource Management and Sustainability",Bachelor Degree in Environmental Planning and Management 
"A,B,C,D","A,B,C,D",,"Urban Planning and Design,Environmental Impact Assessment, Sustainable Development Practices",Bachelor Degree in Urban Development and Environmental Management
,"A,B,C,D","A,B,C,D","Urban Planning and Design,Environmental Impact Assessment, Sustainable Development Practices",Bachelor Degree in Urban Development and Environmental Management
"A,B,C,D",,"A,B,C,D","Urban Planning and Design,Environmental Impact Assessment, Sustainable Development Practices",Bachelor Degree in Urban Development and Environmental Management
"A,B,C,D","A,B,C,D",,"Information Systems Analysis and Design, Project Management, Technical Proficiency in IT Systems",Bachelor of Science in Information Systems Management
"A,B,C,D","A,B,C,D",,"Global Political and Economic Analysis, Diplomatic Communication and Negotiation, Cultural Awareness and Sensitivity",Bachelor Degree in International Relations and Diplomacy
,"A,B,C,D","A,B,C,D","Global Political and Economic Analysis, Diplomatic Communication and Negotiation, Cultural Awareness and Sensitivity",Bachelor Degree in International Relations and Diplomacy
"A,B,C,D",,"A,B,C,D","Global Political and Economic Analysis, Diplomatic Communication and Negotiation, Cultural Awareness and Sensitivity",Bachelor Degree in International Relations and Diplomacy
"A,B,C,D","A,B,C,D",,"Wildlife Biology and Ecology, Conservation Strategies and Practices, Field Research and Data Collection",Bachelor Degree in Wildlife Management
,"A,B,C,D","A,B,C,D","Wildlife Biology and Ecology, Conservation Strategies and Practices, Field Research and Data Collection",Bachelor Degree in Wildlife Management
"A,B,C,D",,"A,B,C,D","Wildlife Biology and Ecology, Conservation Strategies and Practices, Field Research and Data Collection",Bachelor Degree in Wildlife Management
"A,B,C,D","A,B,C,D",,"Wildlife Conservation Knowledge, Tourism Management, Field Guide and Visitor Interaction Skills",Bachelor Degree in Wildlife Tourism  
,"A,B,C,D","A,B,C,D","Wildlife Conservation Knowledge, Tourism Management, Field Guide and Visitor Interaction Skills",Bachelor Degree in Wildlife Tourism  
"A,B,C,D",,"A,B,C,D","Wildlife Conservation Knowledge, Tourism Management, Field Guide and Visitor Interaction Skills",Bachelor Degree in Wildlife Tourism  
"A,B,C,D","A,B,C,D",,"Risk Assessment and Analysis,Insurance Principles and Practices,Financial and Statistical Analysis",Bachelor of Science in Insurance and Risk Management
,"A,B,C,D","A,B,C,D","Risk Assessment and Analysis,Insurance Principles and Practices,Financial and Statistical Analysis",Bachelor of Science in Insurance and Risk Management
"A,B,C,D",,"A,B,C,D","Risk Assessment and Analysis,Insurance Principles and Practices,Financial and Statistical Analysis",Bachelor of Science in Insurance and Risk Management
"A,B,C,D","A,B,C,D",,"Social Policy Analysis,Program Management and Evaluation,Advocacy and Communication",Bachelor of Science in Social Protection 
,"A,B,C,D","A,B,C,D","Social Policy Analysis,Program Management and Evaluation,Advocacy and Communication",Bachelor of Science in Social Protection 
"A,B,C,D",,"A,B,C,D","Social Policy Analysis,Program Management and Evaluation,Advocacy and Communication",Bachelor of Science in Social Protection 
"A,B,C,D","A,B,C,D",,"Tax Law and Regulations, Financial Analysis and Reporting, Attention to Detail and Accuracy",Bachelor of Science in Tax Management 
,"A,B,C,D","A,B,C,D","Tax Law and Regulations, Financial Analysis and Reporting, Attention to Detail and Accuracy",Bachelor of Science in Tax Management 
"A,B,C,D",,"A,B,C,D","Tax Law and Regulations, Financial Analysis and Reporting, Attention to Detail and Accuracy",Bachelor of Science in Tax Management 
